ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,CIP2,ID CIP2
"79500US3905302","Mason, Franklin & Springboro (West) Cities PUMA, OH",2019,"2019","true","true",2.2681490612124495,3565,1416.857121171063,121228.092286115,31819.270079434453,136,"mason-franklin-springboro-west-cities-puma-oh","Engineering","14"
"79500US3905401","Monroe City & Beckett Ridge PUMA, OH",2019,"2019","true","true",2.866268058265695,4805,1629.5671386461606,126093.28511966701,29960.650567747474,225,"monroe-city-beckett-ridge-puma-oh","Engineering","14"
"79500US3905402","Hamilton & Fairfield Cities PUMA, OH",2019,"2019","true","true",0.4108601540013937,751,668.7922379408083,86227.09853528629,39586.81704102189,32,"hamilton-fairfield-cities-puma-oh","Engineering","14"
"79500US3905403","Middletown, Oxford & Trenton Cities PUMA, OH",2019,"2019","true","true",0.6391367848812034,1005,771.0706248521014,77549.72835820896,54634.15423035517,47,"middletown-oxford-trenton-cities-puma-oh","Engineering","14"
"79500US3905501","Mack & Dent PUMA, OH",2019,"2019","true","true",0.7775535430999335,1287,870.7835958479609,116395.75912975913,63720.731759751296,70,"mack-dent-puma-oh","Engineering","14"
"79500US3905502","Forest Park City, White Oak, Bridgetown & Finneytown PUMA, OH",2019,"2019","true","true",0.5972434787835283,1258,863.2173230188483,78781.3521462639,33028.42309902879,57,"forest-park-city-white-oak-bridgetown-finneytown-puma-oh","Engineering","14"
"79500US3905503","Cincinnati City (West) PUMA, OH",2019,"2019","true","true",0.44667783312752646,616,605.3870951612369,78146.22564935064,49059.9133225476,36,"cincinnati-city-west-puma-oh","Engineering","14"
"79500US3905504","Cincinnati City (Central) PUMA, OH",2019,"2019","true","true",1.15272407401257,1904,1053.2299348562615,80534.92594537816,41743.83436694501,108,"cincinnati-city-central-puma-oh","Engineering","14"
"79500US3905505","Cincinnati (East) & Norwood Cities PUMA, OH",2019,"2019","true","true",1.6458855205103038,2846,1278.1132111340055,107413.34434293746,45562.8400075878,143,"cincinnati-east-norwood-cities-puma-oh","Engineering","14"
"79500US3905506","Sharonville, Blue Ash, Springdale & Reading Cities PUMA, OH",2019,"2019","true","true",1.636162182497361,2471,1191.1118793181183,126051.40671792797,49704.32493179135,127,"sharonville-blue-ash-springdale-reading-cities-puma-oh","Engineering","14"
"79500US3905507","Loveland, Montgomery Cities & Forestville PUMA, OH",2019,"2019","true","true",2.2413726921595956,3270,1357.5337354219178,128212.17033639144,42606.40455697068,158,"loveland-montgomery-cities-forestville-puma-oh","Engineering","14"
"79500US3905600","Clermont County (West) PUMA, OH",2019,"2019","true","true",1.0797615489498544,2038,1090.8543631431064,113375.3817468106,44458.53234970564,107,"clermont-county-west-puma-oh","Engineering","14"
"79500US3905700","Clermont (East) & Brown Counties PUMA, OH",2019,"2019","true","true",0.455167450440699,663,627.9793794626157,75880.65912518854,43912.987184069796,30,"clermont-east-brown-counties-puma-oh","Engineering","14"
"79500US4000100","Northeast Oklahoma PUMA, OK",2019,"2019","true","true",0.16474041363299105,305,427.7445760916125,101637.37049180327,110682.95075613288,23,"northeast-oklahoma-puma-ok","Engineering","14"
"79500US4000200","Cherokee, Sequoyah & Adair Counties PUMA, OK",2019,"2019","true","true",0.18324855510376986,213,357.3610548666982,56483.08450704225,36838.31406521233,11,"cherokee-sequoyah-adair-counties-puma-ok","Engineering","14"
"79500US4000300","Southeast Oklahoma PUMA, OK",2019,"2019","true","true",0.11458734936143633,211,356.03526152666575,74985.74407582938,54740.435193690864,13,"southeast-oklahoma-puma-ok","Engineering","14"
"79500US4000400","Southwest Oklahoma PUMA, OK",2019,"2019","true","true",0.37973811421876613,485,537.7004905086735,67919.31546391752,36459.04210480865,10,"southwest-oklahoma-puma-ok","Engineering","14"
"79500US4000500","Panhandle & Northwest Oklahoma PUMA, OK",2019,"2019","true","true",0.19597067283189226,267,400.0299170493552,83964.14232209738,50750.57818122633,14,"panhandle-northwest-oklahoma-puma-ok","Engineering","14"
"79500US4000601","Lawton City PUMA, OK",2019,"2019","true","true",0.33499490925838576,472,530.793195558832,84986.10805084746,65890.27632048551,14,"lawton-city-puma-ok","Engineering","14"
"79500US4000602","Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA, OK",2019,"2019","true","true",0.06700640355614532,80,219.38012332154548,83215.5625,114537.19392376907,7,"stephens-caddo-comanche-north-tillman-jefferson-cotton-counties-puma-ok","Engineering","14"
"79500US4000701","Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA, OK",2019,"2019","true","true",0.18371545597507064,222,364.83034194300575,94121.97747747747,56676.3416445275,11,"carter-garvin-murray-love-pontotoc-west-counties-puma-ok","Engineering","14"
"79500US4000702","Ada City PUMA, OK",2019,"2019","true","true",0.07861628815521922,110,257.202592231886,90618.28181818181,83433.91140121511,6,"ada-city-puma-ok","Engineering","14"
"79500US4000800","Oklahoma City (West) PUMA, OK",2019,"2019","true","true",0.4234289416166832,817,697.4324412094469,101762.1064871481,80953.22463894029,30,"oklahoma-city-west-puma-ok","Engineering","14"
"79500US4000900","Norman, Oklahoma City (South) & Moore Cities PUMA, OK",2019,"2019","true","true",1.1115177702233472,4405,1602.990856342713,87275.82860385925,20564.434940862488,114,"norman-oklahoma-city-south-moore-cities-puma-ok","Engineering","14"
"79500US4001001","Oklahoma City (West Central) PUMA, OK",2019,"2019","true","true",0.5648658577114842,758,670.3812647351751,62617.38258575198,59401.05023843913,23,"oklahoma-city-west-central-puma-ok","Engineering","14"
"79500US4001002","Oklahoma City (Northwest Central) & Bethany Cities PUMA, OK",2019,"2019","true","true",0.8088567811219737,1816,1033.896508691038,96130.87114537445,50981.509840492945,65,"oklahoma-city-northwest-central-bethany-cities-puma-ok","Engineering","14"
"79500US4001003","Edmond & Oklahoma City (North Central) Cities PUMA, OK",2019,"2019","true","true",1.5217384518715895,3295,1377.8414004017359,160686.59514415782,56940.33390361259,95,"edmond-oklahoma-city-north-central-cities-puma-ok","Engineering","14"
"79500US4001004","Midwest, Del & Oklahoma City (Northeast) Cities PUMA, OK",2019,"2019","true","true",0.4459568999881548,689,640.2609497441995,125705.13062409288,88274.77962824266,26,"midwest-del-oklahoma-city-northeast-cities-puma-ok","Engineering","14"
"79500US4001005","Oklahoma City (East Central) PUMA, OK",2019,"2019","true","true",0.45542271755074476,679,635.5092509560872,80094.029455081,46818.03677130569,30,"oklahoma-city-east-central-puma-ok","Engineering","14"
"79500US4001006","Oklahoma City (Central) PUMA, OK",2019,"2019","true","true",1.0281683362781326,1560,955.1293940298444,115393.8891025641,60322.56908190628,65,"oklahoma-city-central-puma-ok","Engineering","14"
"79500US4001101","Grady, McClain & Pottawatomie (South) Counties PUMA, OK",2019,"2019","true","true",0.34588527013284115,477,533.5120781249598,101697.41299790356,50908.580854335545,21,"grady-mcclain-pottawatomie-south-counties-puma-ok","Engineering","14"
"79500US4001102","Shawnee City PUMA, OK",2019,"2019","true","true",0.2709876684342607,426,504.73787608239786,130195.7441314554,143357.8624682387,20,"shawnee-city-puma-ok","Engineering","14"
"79500US4001201","Tulsa City (Central) PUMA, OK",2019,"2019","true","true",1.0267056253870286,2893,1300.7194210835669,107881.37366055997,40383.20042448299,131,"tulsa-city-central-puma-ok","Engineering","14"
"79500US4001202","Tulsa (Southeast) & Broken Arrow (West) Cities PUMA, OK",2019,"2019","true","true",0.9060904065039606,2621,1240.2937967046814,136013.85158336512,48042.03012291092,116,"tulsa-southeast-broken-arrow-west-cities-puma-ok","Engineering","14"
"79500US4001203","Tulsa (North) & Owasso Cities PUMA, OK",2019,"2019","true","true",0.37489063236731185,563,579.3681708175166,113066.60213143872,70267.55974788695,22,"tulsa-north-owasso-cities-puma-ok","Engineering","14"
"79500US4001204","Tulsa City (West) PUMA, OK",2019,"2019","true","true",0.6365263931902522,1467,931.6288668563692,136779.86707566463,60100.02778443402,47,"tulsa-city-west-puma-ok","Engineering","14"
"79500US4001301","Claremore City PUMA, OK",2019,"2019","true","true",0.9560083996994352,1625,975.8758908576801,127051.65661538462,60426.48043346847,70,"claremore-city-puma-ok","Engineering","14"
"79500US4001302","Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA, OK",2019,"2019","true","true",0.3843971806147961,606,601.0023908258846,90409.23597359736,87870.03144751048,21,"muskogee-okmulgee-wagoner-east-mcintosh-counties-puma-ok","Engineering","14"
"79500US4001400","Enid City PUMA, OK",2019,"2019","true","true",0.6531481939789804,969,756.9776796618996,93175.57997936016,64694.15648415509,38,"enid-city-puma-ok","Engineering","14"
"79500US4001501","Stillwater City PUMA, OK",2019,"2019","true","true",0.7479579452663642,1300,875.5546900873863,69545.4323076923,55858.381769516,44,"stillwater-city-puma-ok","Engineering","14"
"79500US4001601","Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA, OK",2019,"2019","true","true",0.5659236206533178,633,612.6075527603125,136999.63981042654,91883.82399811703,28,"washington-osage-north-west-pawnee-creek-northwest-counties-puma-ok","Engineering","14"
"79500US4100100","Umatilla, Union, Baker & Wallowa Counties PUMA, OR",2019,"2019","true","true",0.2314960398774901,342,452.5064026237843,75395.86549707603,63515.22186374249,29,"umatilla-union-baker-wallowa-counties-puma-or","Engineering","14"
"79500US4100200","The Dalles City PUMA, OR",2019,"2019","true","true",0.48708217240946583,680,635.681047293902,78363.47794117648,65283.50794395854,34,"the-dalles-city-puma-or","Engineering","14"
"79500US4100300","Klamath, Malheur, Lake & Harney Counties PUMA, OR",2019,"2019","true","true",0.30486373048630894,363,465.6924858939606,77397.70798898072,62189.60263062087,28,"klamath-malheur-lake-harney-counties-puma-or","Engineering","14"
"79500US4100400","Deschutes County PUMA, OR",2019,"2019","true","true",0.6457760379556526,1540,954.396578777756,82190.58571428571,39768.71572459503,54,"deschutes-county-puma-or","Engineering","14"
"79500US4100500","Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",2019,"2019","true","true",0.37841366288222483,721,655.6100932870731,87008.56310679612,63029.15943785861,43,"columbia-lincoln-clatsop-tillamook-counties-puma-or","Engineering","14"
"79500US4100600","Linn & Benton Counties PUMA, OR",2019,"2019","true","true",1.3512553372291578,3668,1457.4938497204614,81942.97273718647,21245.46702328521,186,"linn-benton-counties-puma-or","Engineering","14"
"79500US4100703","Eugene City (West & South) PUMA, OR",2019,"2019","true","true",0.3761307116994318,775,679.7408794345279,73434.41161290322,34720.13279038173,46,"eugene-city-west-south-puma-or","Engineering","14"
"79500US4100704","Eugene (Northeast) & Springfield Cities PUMA, OR",2019,"2019","true","true",0.3725156953432439,550,572.6600713759506,103599.97272727273,105001.14733865022,28,"eugene-northeast-springfield-cities-puma-or","Engineering","14"
"79500US4100705","Lane County (Outside Eugene & Springfield Cities) PUMA, OR",2019,"2019","true","true",0.33877742326957005,404,491.04463377977714,99804.04455445544,146392.60615613128,28,"lane-county-outside-eugene-springfield-cities-puma-or","Engineering","14"
"79500US4100800","Josephine, Coos & Curry Counties PUMA, OR",2019,"2019","true","true",0.3429716752626107,582,589.3388837935627,75523.4501718213,52537.51556022747,23,"josephine-coos-curry-counties-puma-or","Engineering","14"
"79500US4100901","Medford & Central Point Cities PUMA, OR",2019,"2019","true","true",0.15089206408623437,201,347.3123691757302,76959.38308457712,64707.32849956141,10,"medford-central-point-cities-puma-or","Engineering","14"
"79500US4100902","Ashland City PUMA, OR",2019,"2019","true","true",0.3181299603848303,365,466.8829624784355,97405.04109589041,116072.13247410134,14,"ashland-city-puma-or","Engineering","14"
"79500US4101000","Douglas County PUMA, OR",2019,"2019","true","true",0.3295578809665637,389,481.9075480706908,73213.07712082262,62438.59844970467,18,"douglas-county-puma-or","Engineering","14"
"79500US4101103","Salem (North), Keizer Cities & Hayesville PUMA, OR",2019,"2019","true","true",0.38850975448035496,541,567.822139623934,70001.76340110906,30611.098081213437,26,"salem-north-keizer-cities-hayesville-puma-or","Engineering","14"
"79500US4101104","Salem City (South) & Four Corners PUMA, OR",2019,"2019","true","true",0.33534977674700694,470,529.6646870009022,89770.69361702127,38120.79166924477,27,"salem-city-south-four-corners-puma-or","Engineering","14"
"79500US4101105","Woodburn & Silverton Cities PUMA, OR",2019,"2019","true","true",0.7025079725455395,1018,775.3145378865695,85759.40766208252,32473.042829695205,48,"woodburn-silverton-cities-puma-or","Engineering","14"
"79500US4101200","Yamhill & Polk Counties PUMA, OR",2019,"2019","true","true",0.4134959885020719,976,762.3938083995506,124558.08196721312,62301.07875116319,58,"yamhill-polk-counties-puma-or","Engineering","14"
"79500US4101301","Portland City (North & Northeast) PUMA, OR",2019,"2019","true","true",1.0077467791332513,2034,1090.9577518618294,87338.36529006883,38214.88022865894,110,"portland-city-north-northeast-puma-or","Engineering","14"
"79500US4101302","Portland City (East) PUMA, OR",2019,"2019","true","true",0.36811044076232885,622,609.0301601469226,73205.48231511255,36810.46706336447,29,"portland-city-east-puma-or","Engineering","14"
"79500US4101303","Portland City (Southeast) PUMA, OR",2019,"2019","true","true",0.8487580934458266,1582,964.4170094955409,80864.5575221239,27226.84739140165,78,"portland-city-southeast-puma-or","Engineering","14"
"79500US4101305","Portland City (Central East) PUMA, OR",2019,"2019","true","true",1.116716990355035,2237,1142.2396664346034,98440.75279392043,32250.062240911317,119,"portland-city-central-east-puma-or","Engineering","14"
"79500US4101314","Portland City (Northwest & Southwest) PUMA, OR",2019,"2019","true","true",2.022330642724502,4459,1590.6189805875697,131874.9571652837,41434.87755750697,218,"portland-city-northwest-southwest-puma-or","Engineering","14"
"79500US4101316","Gresham & Troutdale Cities PUMA, OR",2019,"2019","true","true",0.46502679999902713,1043,787.5313124344053,94348.55800575264,60639.15214396922,39,"gresham-troutdale-cities-puma-or","Engineering","14"
"79500US4101317","Damascus City PUMA, OR",2019,"2019","true","true",0.5435733658250903,753,668.3763340861219,110354.40371845949,70753.29479926128,39,"damascus-city-puma-or","Engineering","14"
"79500US4101318","Oregon City, Milwaukie & Happy Valley Cities PUMA, OR",2019,"2019","true","true",0.7424359477683344,1912,1061.9182813968462,92654.68148535564,42944.37404161267,89,"oregon-city-milwaukie-happy-valley-cities-puma-or","Engineering","14"
"79500US4101319","Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA, OR",2019,"2019","true","true",2.0581186534565354,3287,1364.9214909390578,163594.59689686645,51360.32723226957,162,"lake-oswego-west-linn-wilsonville-canby-cities-puma-or","Engineering","14"
"79500US4101320","Tigard, Tualatin & Sherwood Cities PUMA, OR",2019,"2019","true","true",2.0181886444803143,3479,1405.0842082269914,113937.17533774073,22203.082463077597,187,"tigard-tualatin-sherwood-cities-puma-or","Engineering","14"
"79500US4101321","Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA, OR",2019,"2019","true","true",2.873195300608597,4585,1591.6502299380588,139449.5221374046,31326.19901825255,218,"forest-grove-cornelius-cities-bethany-oak-hills-puma-or","Engineering","14"
"79500US4101322","Hillsboro City PUMA, OR",2019,"2019","true","true",3.500219488276418,6116,1819.9511708080786,114298.4162851537,20402.77459820759,274,"hillsboro-city-puma-or","Engineering","14"
"79500US4101323","Beaverton City (West) & Aloha PUMA, OR",2019,"2019","true","true",2.072205068554729,3597,1427.5247811817892,104640.84792882958,32176.151748252956,166,"beaverton-city-west-aloha-puma-or","Engineering","14"
"79500US4101324","Beaverton City (East & Central) & Cedar Mill PUMA, OR",2019,"2019","true","true",1.8577443217104963,3164,1343.2727154172235,123618.17857142857,38267.29660436721,146,"beaverton-city-east-central-cedar-mill-puma-or","Engineering","14"
