ID Industry Group,Industry Group,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Industry Group,CIP2,ID CIP2
"42491","Farm supplies merchant wholesalers",2017,"2017","true","true",516,557.6976667395923,171291.34302325582,202229.40998234556,0.00012888339275040906,29,"farm-supplies-merchant-wholesalers","Engineering","14"
"5411","Legal services",2015,"2015","true","true",29082,4186.405704626957,168913.8574719758,20622.447478559334,0.007801647890883162,1468,"legal-services","Engineering","14"
"4247","Petroleum & petroleum products merchant wholesalers",2017,"2017","true","true",5622,1840.821422151011,167455.84418356456,42127.67912286038,0.0014042295233387592,261,"petroleum-petroleum-products-merchant-wholesalers","Engineering","14"
"32411","Petroleum refining",2017,"2017","true","true",20331,3500.4454783966416,167120.31547882545,19588.976550203446,0.005078155538776292,1018,"petroleum-refining","Engineering","14"
"55","Management of companies & enterprises",2018,"2018","true","true",9383,2378.1081315051565,166484.9753810082,31601.50630726601,0.0022574818935901515,457,,"Engineering","14"
"4247","Petroleum & petroleum products merchant wholesalers",2018,"2018","true","true",5125,1757.5756879747632,166118.88175609757,42083.371735457295,0.00123303790947986,230,"petroleum-petroleum-products-merchant-wholesalers","Engineering","14"
"42491","Farm supplies merchant wholesalers",2019,"2019","true","true",563,582.543186474635,166044.33570159858,191326.69297155208,0.0001307891323755604,35,"farm-supplies-merchant-wholesalers","Engineering","14"
"55","Management of companies & enterprises",2015,"2015","true","true",6523,1982.8425287660612,165755.24329296337,37837.39427069408,0.0017498847806970243,309,,"Engineering","14"
"55","Management of companies & enterprises",2019,"2019","true","true",11418,2623.33023194158,164560.70572779822,28763.341237409997,0.00265248723528268,547,,"Engineering","14"
"5112","Software publishing",2020,"2020","true","true",21236,3577.5029870051258,164330.87558862308,18637.141025926507,0.0047592964954760245,1001,"software-publishing","Engineering","14"
"3241M","Miscellaneous petroleum & coal products",2015,"2015","true","true",1309,888.2649599894995,163891.67226890757,85006.95318747523,0.0003511573168683742,66,"miscellaneous-petroleum-coal-products","Engineering","14"
"3241M","Miscellaneous petroleum & coal products",2020,"2020","true","true",2059,1114.0377708150525,163868.7984458475,55944.517595962745,0.0004614518498862843,97,"miscellaneous-petroleum-coal-products","Engineering","14"
"5411","Legal services",2014,"2014","true","true",28447,4140.451117318219,163325.52508173094,19846.29951368319,0.007887777120316675,1451,"legal-services","Engineering","14"
"32411","Petroleum refining",2016,"2016","true","true",21073,3563.7353230177814,162996.43814359608,18544.017588796578,0.005473307464144161,1045,"petroleum-refining","Engineering","14"
"55","Management of companies & enterprises",2016,"2016","true","true",6618,1997.2293233812034,162857.63161075854,38027.779119666324,0.0017188985335598185,325,,"Engineering","14"
"213","Support activities for mining",2019,"2019","true","true",32480,4424.201885655644,161310.5754310345,16775.341336752997,0.007545348169730377,1382,"support-activities-for-mining","Engineering","14"
"5191ZM","Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2019,"2019","true","true",2016,1102.3437749244258,161209.15228174604,64266.25974095243,0.00046833195536257513,93,"other-information-services-except-libraries-archives-internet-publishing-broadcasting-web-search-portals","Engineering","14"
"51913","Internet publishing, broadcasting & web search portals",2015,"2015","true","true",6708,2010.7624806675335,160536.92680381634,37288.62906466513,0.0017995135840741438,341,"internet-publishing-broadcasting-web-search-portals","Engineering","14"
"486","Pipeline transportation",2019,"2019","true","true",4403,1629.0807722539682,159463.8582784465,40117.99594219046,0.0010228499997328464,227,"pipeline-transportation","Engineering","14"
"55","Management of companies & enterprises",2017,"2017","true","true",8013,2197.658398042562,159075.03394483964,33253.08866686569,0.002001439197885713,397,,"Engineering","14"
"5112","Software publishing",2019,"2019","true","true",21360,3587.9297214880617,158808.17134831462,18266.594125313026,0.004962088574674903,1059,"software-publishing","Engineering","14"
"522M","Nondepository credit & related activities",2020,"2020","true","true",29961,4249.218025299452,158543.75044224158,20412.581207046187,0.006714695907937331,1360,"nondepository-credit-related-activities","Engineering","14"
"3341","Computer & peripheral equipment manufacturing",2019,"2019","true","true",29536,4218.976456813029,157758.28301056338,15798.828020098028,0.006861434838089791,1513,"computer-peripheral-equipment-manufacturing","Engineering","14"
"481","Air transportation",2020,"2020","true","true",24118,3812.501906095241,157721.6883655361,21155.26720112142,0.005405194616589318,1160,"air-transportation","Engineering","14"
"213","Support activities for mining",2018,"2018","true","true",32638,4434.94011767682,157402.73025307924,16493.25590906677,0.0078524665930934,1411,"support-activities-for-mining","Engineering","14"
"5112","Software publishing",2018,"2018","true","true",21583,3606.6036348739503,157104.65755455682,17787.99924156224,0.005192713600059282,1077,"software-publishing","Engineering","14"
"3341","Computer & peripheral equipment manufacturing",2020,"2020","true","true",28023,4109.519218780311,156962.47107732933,16327.697817345295,0.006280361918097788,1397,"computer-peripheral-equipment-manufacturing","Engineering","14"
"4241","Paper & paper products merchant wholesalers",2015,"2015","true","true",910,740.6176005387808,156669.58571428573,123252.05199038787,0.0002441200598550195,45,"paper-paper-products-merchant-wholesalers","Engineering","14"
"55","Management of companies & enterprises",2014,"2014","true","true",5923,1889.453406606986,156646.7042039507,37010.273331394244,0.0016423279742551295,283,,"Engineering","14"
"4247","Petroleum & petroleum products merchant wholesalers",2019,"2019","true","true",4763,1694.369150934745,156639.5460844006,43530.36315693278,0.0011064807060475919,216,"petroleum-petroleum-products-merchant-wholesalers","Engineering","14"
"213","Support activities for mining",2020,"2020","true","true",29947,4248.225335145333,156509.40154272548,16784.62113707428,0.006711558304295559,1210,"support-activities-for-mining","Engineering","14"
"213","Support activities for mining",2017,"2017","true","true",32714,4440.092356848792,156162.53986061012,15962.614414419064,0.008171107190769153,1412,"support-activities-for-mining","Engineering","14"
"334M2","Electronic component & product manufacturing, n.e.c. ",2020,"2020","true","true",141266,9223.304276369505,155964.5347288095,7295.181427098053,0.031659765432751744,6985,"electronic-component-product-manufacturing-nec","Engineering","14"
"55","Management of companies & enterprises",2020,"2020","true","true",12569,2752.369318603667,155843.13175272496,24728.472618812342,0.0028168957266734855,571,,"Engineering","14"
"32411","Petroleum refining",2015,"2015","true","true",22025,3643.3273862100486,155554.62011350738,17168.326683525538,0.0059085102398975875,1032,"petroleum-refining","Engineering","14"
"5191ZM","Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2016,"2016","true","true",3280,1406.0689637350606,155071.06402439025,52021.03101725414,0.0008519170731453921,152,"other-information-services-except-libraries-archives-internet-publishing-broadcasting-web-search-portals","Engineering","14"
"5191ZM","Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2017,"2017","true","true",3458,1443.7168088638005,154282.8970503181,49041.26006326565,0.0008637185506413074,158,"other-information-services-except-libraries-archives-internet-publishing-broadcasting-web-search-portals","Engineering","14"
"5182","Data processing, hosting & related services",2020,"2020","true","true",10247,2485.1815163587266,154069.47194300772,30371.462570784333,0.0022965017512310616,495,"data-processing-hosting-related-services","Engineering","14"
"454110","Electronic shopping and mail-order houses",2020,"2020","true","true",26577,4002.107954941923,153639.59182752002,18534.49715444283,0.005956292284811937,1063,"electronic-shopping-and-mail-order-houses","Engineering","14"
"213","Support activities for mining",2016,"2016","true","true",33890,4519.165775494184,152709.4945706698,15124.157047775223,0.008802277319785773,1425,"support-activities-for-mining","Engineering","14"
"522M","Nondepository credit & related activities",2019,"2019","true","true",27735,4088.3493556342264,152489.08927348116,20065.22814297739,0.006443048998998522,1336,"nondepository-credit-related-activities","Engineering","14"
"481","Air transportation",2019,"2019","true","true",22494,3681.9253483895022,152470.71036720905,21167.651286960696,0.005225525299566352,1145,"air-transportation","Engineering","14"
"5112","Software publishing",2017,"2017","true","true",20050,3476.1744391742886,152465.03221945136,17289.337742550568,0.00500796904001105,1006,"software-publishing","Engineering","14"
"5191ZM","Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2015,"2015","true","true",3192,1387.079003036655,152424.9132205514,50351.08678864077,0.0008562980561068377,148,"other-information-services-except-libraries-archives-internet-publishing-broadcasting-web-search-portals","Engineering","14"
"32411","Petroleum refining",2014,"2014","true","true",21816,3625.9979632625896,152379.8929226256,16066.457507920177,0.006049135081267923,1058,"petroleum-refining","Engineering","14"
"486","Pipeline transportation",2020,"2020","true","true",4096,1571.2624508433603,151634.08032226562,38436.542220288204,0.0009179731797640702,202,"pipeline-transportation","Engineering","14"
"486","Pipeline transportation",2018,"2018","true","true",4776,1696.6793811293721,151570.10469011727,34257.09804267375,0.001149071035253817,234,"pipeline-transportation","Engineering","14"
"5191ZM","Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2018,"2018","true","true",3216,1392.2844537668766,151251.9514925373,47809.93571693083,0.0007737463252462888,145,"other-information-services-except-libraries-archives-internet-publishing-broadcasting-web-search-portals","Engineering","14"
"334M2","Electronic component & product manufacturing, n.e.c. ",2019,"2019","true","true",138681,9138.584579001685,151245.02626891932,6991.729426961539,0.03221663884009786,7175,"electronic-component-product-manufacturing-nec","Engineering","14"
"5191ZM","Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2020,"2020","true","true",1524,958.4401744877892,151227.83267716537,70234.74257939808,0.00034155056786143624,71,"other-information-services-except-libraries-archives-internet-publishing-broadcasting-web-search-portals","Engineering","14"
"3341","Computer & peripheral equipment manufacturing",2018,"2018","true","true",29528,4218.3989930589305,151138.02858303982,14715.214670543557,0.007104223100706597,1506,"computer-peripheral-equipment-manufacturing","Engineering","14"
"4241","Paper & paper products merchant wholesalers",2018,"2018","true","true",645,623.5246859679755,151031.2496124031,130847.48392746564,0.00015518233202234337,39,"paper-paper-products-merchant-wholesalers","Engineering","14"
"4241","Paper & paper products merchant wholesalers",2017,"2017","true","true",760,676.8312512095517,151018.5157894737,129325.88178766737,0.0001898282528881994,43,"paper-paper-products-merchant-wholesalers","Engineering","14"
